Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk,DNC_Check_Required_for_ER,Quiet_Hours (allowed_window_local),AI_Disclosure_Required,Recording_Basis,Existing_Relationship_Exemption,Known_Exceptions,CallerID/Prefix_Rules,Recent_Changes (2024+),Last_Verified,Primary_Sources,Notes_for_Product
Mozambique,MZ,No specific telemarketing law,No clear regime,B2B not regulated,None,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Weak enforcement,Not specified,None,2025-08-19,"INCM Mozambique; Consumer Law references",Apply conservative opt-in
Zambia,ZM,Electronic Communications Act covers marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Enforcement unclear,Caller ID must be accurate,None,2025-08-19,"ZICTA; Zambia Data Protection Act",Apply conservative consent-based rule
Zimbabwe,ZW,Consumer Protection Act applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement capacity,Not specified,None,2025-08-19,"POTRAZ Zimbabwe; Consumer Protection Act",Apply strict opt-in
Botswana,BW,Data Protection Act 2018 applies to marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Limited DPA enforcement,Not specified,None,2025-08-19,"DPA Botswana; BOCRA telecom regulator",Apply strict opt-in
Namibia,NA,Data Protection Bill pending; no DNC yet,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,No enforcement mechanism yet,Not specified,"Bill pending 2024",2025-08-19,"CRAN Namibia; draft Data Protection Bill",Treat as opt-in until law passes
Malawi,MW,No specific telemarketing framework,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,No registry,Not specified,None,2025-08-19,"MACRA Malawi regulator",Apply conservative opt-in
Benin,BJ,Digital Code covers consent,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"ARCEP Benin; Digital Code 2018",Apply strict opt-in
Togo,TG,Electronic Communications Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,No registry,Not specified,None,2025-08-19,"ARCEP Togo; Data Protection Authority CNIL-Togo",Apply strict opt-in
Burkina Faso,BF,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,CIL regulator but weak enforcement,Not specified,None,2025-08-19,"CIL Burkina Faso; ARCEP regulator",Apply strict opt-in
Mali,ML,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"APDP Mali",Apply strict opt-in
Niger,NE,No specific telemarketing law,No clear regime,B2B not regulated,None,None,N/A,No,Not specified,Not specified,consent,Consent advisable,Limited enforcement,Not specified,None,2025-08-19,"ARCEP Niger",Apply conservative opt-in
Guinea,GN,Data Protection Law applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,APDP not strongly enforced,Not specified,None,2025-08-19,"APDP Guinea",Apply strict opt-in
Sierra Leone,SL,Data Protection Act 2023 applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Recent law,Not specified,2023 Data Protection Act,2025-08-19,"Data Protection Commission Sierra Leone",Apply strict opt-in
Liberia,LR,Data Protection & Privacy Act 2022 applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,New law not fully enforced,Not specified,2022 Data Protection Act,2025-08-19,"Liberia Data Protection Office",Apply strict opt-in
Gambia,GM,Data Protection Act applies,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Weak enforcement,Not specified,None,2025-08-19,"Gambia DPA",Apply strict opt-in
Mauritius,MU,Data Protection Act 2017 regulates marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,Enforcement by DPA,Not specified,None,2025-08-19,"Mauritius Data Protection Commissioner",Apply strict opt-in
Seychelles,SC,Data Protection Act 2021 regulates marketing,opt-in,B2B not regulated,apply consumer rules,None,None,N/A,Depends,Not specified,Not specified,consent,Consent required,New regulator,Not specified,None,2025-08-19,"Seychelles Data Protection Authority",Apply strict opt-in
